Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,82.930000,84.250000,82.779999,84.129997,78.019951,8760300
2022-04-14,86.010002,87.900002,84.589996,84.760002,78.604202,16348400
2022-04-18,84.389999,87.180000,84.320000,86.480003,80.199287,7897500
2022-04-19,87.010002,89.110001,86.919998,88.910004,82.452797,12637700
2022-04-20,89.610001,91.580002,89.610001,90.610001,84.029343,11828400
2022-04-21,91.529999,92.930000,88.709999,88.910004,82.452797,9563900
2022-04-22,88.120003,88.209999,84.629997,84.739998,78.585648,11455400
2022-04-25,84.029999,85.309998,82.889999,85.050003,78.873146,11577600
2022-04-26,84.290001,85.220001,82.279999,82.370003,76.387779,10062000
2022-04-27,82.379997,83.669998,81.809998,82.209999,76.239395,9522900
2022-04-28,82.699997,83.849998,81.610001,83.400002,78.007195,6974600
2022-04-29,83.059998,83.739998,80.309998,80.589996,75.378876,8097300
2022-05-02,80.589996,82.139999,80.029999,81.959999,76.660301,8737100
2022-05-03,82.489998,84.809998,82.250000,83.750000,78.334549,9430500
2022-05-04,84.070000,87.529999,83.940002,87.220001,81.580193,10495000
2022-05-05,85.750000,86.160004,83.410004,84.940002,79.447609,8556500
2022-05-06,84.139999,84.570000,82.309998,84.230003,78.783516,7333600
2022-05-09,82.540001,83.239998,80.720001,81.150002,75.902687,11161000
2022-05-10,82.010002,82.660004,78.720001,80.260002,75.070229,9261000
2022-05-11,80.070000,82.059998,78.760002,78.889999,73.788803,8060000
2022-05-12,78.050003,79.519997,76.750000,78.589996,73.508209,10315600
2022-05-13,79.599998,81.500000,79.470001,80.540001,75.332115,7948000
2022-05-16,80.389999,80.930000,78.849998,79.900002,74.733498,5703600
2022-05-17,81.639999,83.260002,81.330002,82.930000,77.567581,6507100
2022-05-18,81.900002,82.220001,80.320000,80.690002,75.472420,5949400
2022-05-19,79.730003,81.180000,79.500000,79.959999,74.789627,7852800
2022-05-20,80.620003,81.209999,77.570000,79.370003,74.237778,8705000
2022-05-23,80.790001,83.339996,80.099998,82.309998,76.987663,7787700
2022-05-24,81.800003,82.220001,80.050003,81.959999,76.660301,6225700
2022-05-25,81.279999,82.820000,81.000000,82.230003,76.912842,6747800
2022-05-26,83.349998,85.550003,83.239998,85.000000,79.503731,8573400
2022-05-27,85.570000,86.480003,84.919998,86.449997,80.859955,6300000
2022-05-31,85.459999,86.820000,84.930000,86.139999,80.570000,10780700
2022-06-01,86.440002,86.779999,83.709999,85.000000,79.503731,6543900
2022-06-02,85.180000,85.379997,83.669998,85.199997,79.690796,7468700
2022-06-03,84.169998,84.989998,83.680000,84.120003,78.680634,5276900
2022-06-06,85.199997,86.279999,84.739998,84.870003,79.382126,4022400
2022-06-07,84.150002,85.400002,83.879997,85.330002,79.812386,4514300
2022-06-08,84.500000,85.129997,82.739998,83.199997,77.820114,6787200
2022-06-09,82.699997,82.879997,81.150002,81.160004,75.912025,6951700
2022-06-10,79.540001,79.709999,76.949997,77.400002,72.395157,9671600
2022-06-13,75.019997,76.260002,74.139999,75.180000,70.318710,10446400
2022-06-14,75.419998,76.769997,74.269997,74.959999,70.112938,7400300
2022-06-15,75.800003,77.199997,74.330002,76.019997,71.104401,9273300
2022-06-16,74.089996,74.360001,72.489998,73.949997,69.168236,11068400
2022-06-17,73.809998,74.620003,72.660004,72.900002,68.186142,17285900
2022-06-21,75.070000,75.250000,74.160004,74.629997,69.804260,8063800
