Date,Open,High,Low,Close,Adj Close,Volume
2022-11-17,132.000000,132.889999,131.279999,132.539993,127.172974,8820200
2022-11-18,134.570007,134.669998,132.279999,133.839996,128.420349,9468500
2022-11-21,133.740005,134.559998,132.750000,133.050003,127.662331,7800500
2022-11-22,134.000000,135.270004,133.690002,135.039993,129.571716,9185700
2022-11-23,134.940002,136.500000,134.860001,136.479996,130.953430,7316200
2022-11-25,136.479996,137.139999,136.059998,136.740005,131.202911,3220500
2022-11-28,136.070007,136.710007,134.190002,134.350006,128.909683,9906900
2022-11-29,134.660004,136.639999,134.410004,136.559998,131.030182,7925300
2022-11-30,136.089996,138.179993,133.190002,138.179993,132.584579,14761200
2022-12-01,138.179993,138.660004,135.429993,136.240005,130.723145,8858500
2022-12-02,134.490005,135.350006,133.339996,135.160004,129.686859,8931900
2022-12-05,134.240005,134.570007,130.600006,131.369995,126.050346,10154500
2022-12-06,133.389999,135.110001,129.869995,131.589996,126.261444,13966700
2022-12-07,131.309998,133.080002,130.330002,131.500000,126.175079,11739400
2022-12-08,132.330002,132.979996,131.429993,132.880005,127.499214,8907300
2022-12-09,132.199997,133.759995,132.000000,132.160004,126.808372,7957800
2022-12-12,132.399994,134.649994,131.600006,134.210007,128.775375,8841600
2022-12-13,136.889999,137.089996,133.080002,134.080002,128.650604,10025400
2022-12-14,133.779999,135.710007,132.759995,133.410004,128.007751,9966100
2022-12-15,131.149994,132.080002,129.050003,130.100006,124.831795,12087800
2022-12-16,129.149994,129.899994,128.429993,129.289993,124.054565,21133700
2022-12-19,129.649994,131.330002,129.089996,130.059998,124.793396,9017200
2022-12-20,130.970001,132.050003,130.199997,130.690002,125.397888,8549900
2022-12-21,132.179993,132.979996,131.770004,132.160004,126.808372,8051700
2022-12-22,131.100006,131.300003,128.410004,130.660004,125.369110,8648200
2022-12-23,130.580002,131.440002,129.639999,131.279999,125.963997,5091900
2022-12-27,131.570007,132.220001,130.550003,131.740005,126.405380,5411000
2022-12-28,131.850006,133.410004,131.009995,132.460007,127.096214,8827700
2022-12-29,132.929993,133.270004,132.309998,133.220001,127.825439,6585200
2022-12-30,132.809998,134.330002,132.440002,134.100006,128.669800,9292500
2023-01-03,135.240005,136.740005,133.889999,135.119995,129.648514,11054800
2023-01-04,135.990005,137.679993,135.570007,136.380005,130.857468,11687600
2023-01-05,135.660004,135.710007,133.699997,135.350006,130.828491,8381300
2023-01-06,136.130005,138.380005,134.490005,137.940002,133.331955,10029100
2023-01-09,138.600006,138.880005,136.880005,137.369995,132.781006,8482300
2023-01-10,137.789993,138.720001,137.309998,138.600006,133.969910,9048700
2023-01-11,138.899994,139.750000,138.100006,139.630005,134.965500,8703700
